name,brand,notes,accords,description
Chanel No. 5,Chanel,"aldehydes, ylang-ylang, neroli, jasmine, iris, rose, sandalwood, vetiver, civet, oakmoss","floral, powdery, aldehydic","The iconic floral aldehyde classic. Timeless, powdery, and deeply feminine with a bouquet of flowers wrapped in warm woods."
Sauvage,Christian Dior,"bergamot, pepper, lavender, pink pepper, vetiver, patchouli, geranium, elemi, ambroxan","fresh, aromatic, spicy","A wild, raw, and rugged masculine scent. Radiant bergamot and pepper on a woody ambrosia base."
Bleu de Chanel,Chanel,"citrus, ginger, nutmeg, jasmine, iso e super, labdanum, sandalwood, patchouli, incense, vetiver","woody, aromatic, fresh","A sophisticated woody aromatic for men. Clean citrus opens to a warm, deep woody heart."
Black Orchid,Tom Ford,"black truffle, ylang-ylang, blackcurrant, black orchid, dark chocolate, patchouli, vanilla, sandalwood","dark, floral, gourmand","Dark and seductive with black flowers, rich earth, and decadent chocolate. Mysterious and opulent."
Acqua di Gio,Giorgio Armani,"calabrian bergamot, neroli, green tangerine, jasmine, rosemary, marine accord, patchouli, white musk","aquatic, fresh, citrus","The quintessential aquatic fragrance. Mediterranean sea breeze with citrus and marine freshness."
La Vie Est Belle,Lancome,"blackcurrant, pear, iris, jasmine, orange blossom, praline, vanilla, patchouli, musk","gourmand, floral, sweet","A joyful and feminine fragrance. Sweet praline and iris with a warm vanilla base."
Miss Dior,Christian Dior,"blood orange, strawberry, rose, iris, patchouli, musk","floral, fresh, chypre","Fresh and romantic with sparkling citrus and delicate rose petals on a modern chypre base."
Flowerbomb,Viktor and Rolf,"bergamot, tea, freesia, jasmine, rose, orchid, patchouli, musk","floral, gourmand, powdery","An explosion of flowers. Lush and intoxicating floral bouquet with a warm, sweet musk finish."
J'adore,Christian Dior,"Damascus plum, magnolia, champaca flower, jasmine, tuberose, rose, musk, blackberry","floral, fruity, feminine","Ultra-feminine and luminous. A cascade of white flowers with juicy fruit on a sensual musk."
Coco Mademoiselle,Chanel,"orange, bergamot, grapefruit, rose, jasmine, iris, mimosa, patchouli, vetiver, musk","floral, chypre, fresh","Bold yet feminine. Sparkling citrus with a heart of rose and jasmine on an earthy patchouli base."
Oud Wood,Tom Ford,"oud, rosewood, cardamom, sandalwood, vetiver, amber, tonka bean","woody, oud, spicy","Rare, luxurious oud softened by sandalwood and cardamom. Warm, smoky, and deeply exotic."
Light Blue,Dolce and Gabbana,"Sicilian cedar, apple, bellflower, white rose, bamboo, jasmine, white rose, musk, cedarwood","fresh, citrus, aquatic","Carefree Sicilian summer in a bottle. Crisp apple and cedar with a clean floral heart."
Aventus,Creed,"pineapple, bergamot, black currant, apple, birch, patchouli, musk, oakmoss, ambergris","fruity, chypre, smoky","The king of masculine fragrances. Bold pineapple and blackcurrant over smoky birch and mossy base."
